Detector;Time;qPKW;vPKW
306:9;0;3.0;13.9
306:11;0;7.0;13.9
306:27;0;2.0;13.9
306:29;0;6.0;13.9
306:13;0;3.0;13.9
306:1;0;28.0;13.9
306:23;0;14.0;13.9
306:15;0;1.0;13.9
306:17;0;4.0;13.9
306:19;0;1.0;13.9
306:3;0;18.0;13.9
306:5;0;14.0;13.9
306:25;0;11.0;13.9
306:21;0;4.0;13.9
306:7;0;6.0;13.9
402:1;0;25.0;13.9
402:11;0;9.0;13.9
402:13;0;7.0;13.9
402:15;0;6.0;13.9
402:17;0;8.0;13.9
402:19;0;4.0;13.9
402:3;0;10.0;13.9
402:5;0;11.0;13.9
402:7;0;1.0;13.9
402:9;0;10.0;13.9
601:7;0;4.0;13.9
601:15;0;0.0;13.9
601:17;0;2.0;13.9
601:11;0;10.0;13.9
601:13;0;9.0;13.9
601:1;0;5.0;13.9
302:9;0;8.0;13.9
302:11;0;5.0;13.9
302:13;0;3.0;13.9
302:25;0;3.0;13.9
302:27;0;16.0;13.9
302:15;0;4.0;13.9
302:29;0;2.0;13.9
302:17;0;2.0;13.9
302:19;0;1.0;13.9
302:21;0;10.0;13.9
302:1;0;2.0;13.9
302:3;0;2.0;13.9
302:5;0;8.0;13.9
302:23;0;9.0;13.9
302:7;0;13.0;13.9
304:11;0;6.0;13.9
304:13;0;18.0;13.9
304:1;0;2.0;13.9
304:3;0;9.0;13.9
304:15;0;5.0;13.9
304:5;0;6.0;13.9
304:17;0;9.0;13.9
404:13;0;16.0;13.9
404:15;0;11.0;13.9
404:7;0;8.0;13.9
404:9;0;7.0;13.9
404:11;0;7.0;13.9
404:1;0;11.0;13.9
404:3;0;16.0;13.9
404:5;0;3.0;13.9
404:19;0;2.0;13.9
404:21;0;9.0;13.9
404:23;0;6.0;13.9
502:19;0;0.0;13.9
502:21;0;5.0;13.9
502:23;0;6.0;13.9
502:1;0;3.0;13.9
502:3;0;11.0;13.9
502:5;0;3.0;13.9
502:11;0;26.0;13.9
502:13;0;8.0;13.9
502:15;0;16.0;13.9
502:17;0;14.0;13.9
502:7;0;12.0;13.9
502:9;0;5.0;13.9
601:7;0;4.0;13.9
601:15;0;0.0;13.9
601:17;0;2.0;13.9
601:11;0;10.0;13.9
601:13;0;9.0;13.9
601:1;0;5.0;13.9
306:1;60;17.0;13.9
306:11;60;6.0;13.9
306:13;60;3.0;13.9
306:15;60;1.0;13.9
306:17;60;3.0;13.9
306:19;60;0.0;13.9
306:21;60;3.0;13.9
306:23;60;8.0;13.9
306:25;60;7.0;13.9
306:27;60;2.0;13.9
306:29;60;4.0;13.9
306:3;60;10.0;13.9
306:5;60;8.0;13.9
306:7;60;4.0;13.9
306:9;60;2.0;13.9
402:1;60;17.0;13.9
402:3;60;6.0;13.9
402:5;60;5.0;13.9
402:7;60;0.0;13.9
402:9;60;5.0;13.9
402:11;60;9.0;13.9
402:13;60;2.0;13.9
402:15;60;7.0;13.9
402:17;60;4.0;13.9
402:19;60;3.0;13.9
601:1;60;5.0;13.9
601:11;60;5.0;13.9
601:13;60;3.0;13.9
601:15;60;0.0;13.9
601:17;60;1.0;13.9
601:7;60;3.0;13.9
302:1;60;2.0;13.9
302:11;60;2.0;13.9
302:13;60;2.0;13.9
302:15;60;2.0;13.9
302:17;60;4.0;13.9
302:19;60;2.0;13.9
302:21;60;10.0;13.9
302:23;60;6.0;13.9
302:25;60;3.0;13.9
302:27;60;12.0;13.9
302:29;60;2.0;13.9
302:3;60;2.0;13.9
302:5;60;6.0;13.9
